Nom,postal,INS
Gouy-lez-Piéton,6181,52031
Gozée,6534,56030
Grâce-Berleur,4460,62046
GRÂCE-HOLLOGNE,4460,62118
Graide,5555,91057
Grammene,9800,44026
Grand-Axhe,4300,64030
Grandglise,7973,51027
Grand-Hallet,4280,64031
Grand-Halleux,6698,82011
Grandhan,6940,83016
Grand-Leez,5031,92056
Grand-Manil,5030,92057
Grandménil,6960,83017
Grandmetz,7900,57034
Grand-Rechain,4650,63030
Grand-Reng,6560,56031
Grandrieu,6470,56032
Grand-Rosière-Hottomont,1367,25036
Grandville,4360,64032
Grandvoir,6840,84023
Grapfontaine,6840,84024
Graty,7830,55014
Graux,5640,92058
Grazen,3450,24032
Grembergen,9200,42007
GREZ-DOICEAU,1390,25037
GRIMBERGEN,1850,23025
Grimminge,9506,41022
Grivegnée,4030,62047
GROBBENDONK,2280,13010
Groot-Bijgaarden,1702,23026
Groot-Gelmen,3800,71019
Groot-Loon,3840,73018
Grosage,7950,51028
Gros-Fays,5555,91058
Grote-Brogel,3990,72010
Grotenberge,9620,41023
Grote-Spouwen,3740,73019
Grune,6952,83018
Grupont,6927,83019
Guignies,7620,57035
Guigoven,3723,73020
Guirsch,6704,81007
Gullegem,8560,34012
Gutschoven,3870,73021
HAACHT,3150,24033
HAALTERT,9450,41024
Haasdonk,9120,46009
Haasrode,3053,24034
HABAY,6720,85046
Habay-la-Neuve,6720,85014
Habay-la-Vieille,6723,85015
Habergy,6782,81008
Haccourt,4684,62048
Hachy,6720,81009
Hacquegnies,7911,51029
Haillot,5351,92059
Haine-Saint-Paul,7100,55015
Haine-Saint-Pierre,7100,56033
Hainin,7350,53033
Hakendover,3300,24035
Halanzy,6792,81010
HALEN,3545,71020
Hallaar,2220,12011
Halle (Antwerpen),2980,11017
HALLE (Brabant),1500,23027
Halle-Booienhoven,3440,24036
Halleux,6986,83020
Halma,6922,84025
Halmaal,3800,71021
Haltinne,5340,92060
HAM,3945,71069
Hamipré,6840,84026
HAMME (Oost-Vlaanderen),9220,42008
Hamme (Vlaams-Brabant),1785,23028
Hamme-Mille,1320,25038
HAMOIR,4180,61024
HAMOIS,5360,91059
Hamont,3930,72012
HAMONT-ACHEL,3930,72037
Hampteau,6990,83021
Ham-sur-Heure,6120,56034
HAM-SUR-HEURE-NALINNES,6120,56086
Ham-sur-Sambre,5190,92061
Handzame,8610,32005
Haneffe,4357,64033
Hannêche,4210,61025
HANNUT,4280,64034
Hanret,5310,92062
Hansbeke,9850,44027
Han-sur-Lesse,5580,91060
Hantes-Wihéries,6560,56035
Hanzinelle,5621,93031
Hanzinne,5621,93032
Harchies,7321,51030
HARELBEKE,8530,34013
Haren,3840,73105
Haren (Borgloon),3840,
Haren (Bruxelles),1130,21122
Haren (Tongeren),3700,
Hargimont,6900,83022
Harmignies,7022,53034
Harnoncourt,6767,85016
Harre,6960,83023
Harsin,6950,83024
Harveng,7022,53035
Harzé,4920,61026
HASSELT,3500,71022
HASTIÈRE,5540,91142
Hastière-Lavaux,5540,91061
Hastière-par-delà ,5541,91062
Haulchin,7120,56036
Hauset,4730,63031
Haut-Fays,6929,84028
Haut-le-Wastia,5537,91063
Havay,7041,53037
HAVELANGE,5370,91064
Havinnes,7531,57036
Havré,7021,53038
Hechtel,3940,72013
HECHTEL-EKSEL,3940,72038
Heer,5543,91065
HEERS,3870,73022
Hees,3740,73023
Heestert,8551,34014
Heffen,2801,12012
Heikruis,1670,23029
Heindonk,2830,12013
